Category: All categories

Day,Cryptocurrency: (Worldwide)
2024-04-12,84
2024-04-13,95
2024-04-14,88
2024-04-15,77
2024-04-16,75
2024-04-17,69
2024-04-18,68
2024-04-19,72
2024-04-20,71
2024-04-21,67
2024-04-22,70
2024-04-23,68
2024-04-24,72
2024-04-25,66
2024-04-26,59
2024-04-27,59
2024-04-28,63
2024-04-29,62
2024-04-30,68
2024-05-01,66
2024-05-02,59
2024-05-03,59
2024-05-04,57
2024-05-05,56
2024-05-06,59
2024-05-07,55
2024-05-08,56
2024-05-09,56
2024-05-10,57
2024-05-11,50
2024-05-12,50
2024-05-13,55
2024-05-14,58
2024-05-15,63
2024-05-16,70
2024-05-17,60
2024-05-18,60
2024-05-19,57
2024-05-20,67
2024-05-21,76
2024-05-22,71
2024-05-23,71
2024-05-24,66
2024-05-25,62
2024-05-26,67
2024-05-27,76
2024-05-28,77
2024-05-29,77
2024-05-30,69
2024-05-31,64
2024-06-01,60
2024-06-02,63
2024-06-03,69
2024-06-04,72
2024-06-05,76
2024-06-06,71
2024-06-07,71
2024-06-08,71
2024-06-09,62
2024-06-10,61
2024-06-11,68
2024-06-12,68
2024-06-13,64
2024-06-14,62
2024-06-15,58
2024-06-16,54
2024-06-17,60
2024-06-18,69
2024-06-19,60
2024-06-20,59
2024-06-21,56
2024-06-22,53
2024-06-23,53
2024-06-24,60
2024-06-25,55
2024-06-26,56
2024-06-27,55
2024-06-28,53
2024-06-29,46
2024-06-30,48
2024-07-01,52
2024-07-02,52
2024-07-03,57
2024-07-04,64
2024-07-05,68
2024-07-06,54
2024-07-07,57
2024-07-08,58
2024-07-09,57
2024-07-10,58
2024-07-11,55
2024-07-12,50
2024-07-13,50
2024-07-14,60
2024-07-15,59
2024-07-16,60
2024-07-17,64
2024-07-18,62
2024-07-19,73
2024-07-20,66
2024-07-21,63
2024-07-22,66
2024-07-23,62
2024-07-24,61
2024-07-25,66
2024-07-26,59
2024-07-27,63
2024-07-28,61
2024-07-29,59
2024-07-30,56
2024-07-31,57
2024-08-01,54
2024-08-02,53
2024-08-03,54
2024-08-04,54
2024-08-05,100
2024-08-06,65
2024-08-07,60
2024-08-08,57
2024-08-09,54
2024-08-10,48
2024-08-11,52
2024-08-12,54
2024-08-13,55
2024-08-14,55
2024-08-15,55
2024-08-16,50
2024-08-17,50
2024-08-18,49
2024-08-19,55
2024-08-20,57
2024-08-21,55
2024-08-22,53
2024-08-23,57
2024-08-24,54
2024-08-25,54
2024-08-26,59
2024-08-27,58
2024-08-28,58
2024-08-29,57
2024-08-30,55
2024-08-31,52
2024-09-01,50
2024-09-02,53
2024-09-03,54
2024-09-04,53
2024-09-05,52
2024-09-06,57
2024-09-07,57
2024-09-08,49
2024-09-09,50
2024-09-10,52
2024-09-11,49
2024-09-12,51
2024-09-13,51
2024-09-14,53
2024-09-15,51
2024-09-16,52
2024-09-17,55
2024-09-18,55
2024-09-19,59
2024-09-20,56
2024-09-21,55
2024-09-22,54
2024-09-23,60
2024-09-24,63
2024-09-25,60
2024-09-26,66
2024-09-27,65
2024-09-28,56
2024-09-29,57
2024-09-30,56
2024-10-01,59
2024-10-02,53
2024-10-03,53
2024-10-04,55
2024-10-05,51
2024-10-06,47
2024-10-07,53
2024-10-08,53
2024-10-09,52
2024-10-10,51
2024-10-11,52
2024-10-12,52
